"","Date","male","female","nk"
"1",20110101,1,0,0
"2",20110101,1,0,0
"3",20110101,1,0,0
"4",20110101,1,0,0
"5",20110101,1,0,0
"6",20110101,1,0,0
"7",20110102,1,0,0
"8",20110102,1,0,0
"9",20110102,0,1,0
"10",20110102,1,0,0
"11",20110102,1,0,0
"12",20110103,1,0,0
"13",20110103,1,0,0
"14",20110104,1,0,0
"15",20110104,1,0,0
"16",20110105,1,0,0
"17",20110105,0,1,0
"18",20110105,1,0,0
"19",20110106,1,0,0
"20",20110106,1,0,0
"21",20110106,1,0,0
"22",20110107,0,1,0
"23",20110107,1,0,0
"24",20110107,1,0,0
"25",20110108,1,0,0
"26",20110108,0,1,0
"27",20110108,0,1,0
"28",20110108,1,0,0
"29",20110108,1,0,0
"30",20110109,1,0,0
"31",20110109,1,0,0
"32",20110109,1,0,0
"33",20110110,1,0,0
"34",20110111,1,0,0
"35",20110111,1,0,0
"36",20110112,0,1,0
"37",20110112,1,0,0
"38",20110113,1,0,0
"39",20110113,1,0,0
"40",20110113,1,0,0
"41",20110115,1,0,0
"42",20110116,1,0,0
"43",20110116,0,1,0
"44",20110116,0,1,0
"45",20110116,1,0,0
"46",20110117,1,0,0
"47",20110118,1,0,0
"48",20110120,1,0,0
"49",20110120,1,0,0
"50",20110120,1,0,0
"51",20110121,1,0,0
"52",20110121,0,1,0
"53",20110121,1,0,0
"54",20110122,1,0,0
"55",20110122,1,0,0
"56",20110122,1,0,0
"57",20110124,1,0,0
"58",20110124,0,1,0
"59",20110124,1,0,0
"60",20110125,0,1,0
"61",20110125,1,0,0
"62",20110126,1,0,0
"63",20110127,1,0,0
"64",20110127,1,0,0
"65",20110128,1,0,0
"66",20110128,1,0,0
"67",20110128,0,1,0
"68",20110201,1,0,0
"69",20110201,1,0,0
"70",20110202,1,0,0
"71",20110202,1,0,0
"72",20110202,1,0,0
"73",20110203,1,0,0
"74",20110203,1,0,0
"75",20110203,1,0,0
"76",20110204,1,0,0
"77",20110204,0,1,0
"78",20110205,1,0,0
"79",20110205,1,0,0
"80",20110205,1,0,0
"81",20110205,1,0,0
"82",20110205,1,0,0
"83",20110205,1,0,0
"84",20110205,1,0,0
"85",20110206,0,1,0
"86",20110206,1,0,0
"87",20110206,1,0,0
"88",20110206,1,0,0
"89",20110208,1,0,0
"90",20110209,1,0,0
"91",20110209,1,0,0
"92",20110209,0,1,0
"93",20110210,1,0,0
"94",20110210,1,0,0
"95",20110210,0,1,0
"96",20110210,1,0,0
"97",20110210,1,0,0
"98",20110210,1,0,0
"99",20110210,1,0,0
"100",20110210,0,1,0
"101",20110211,1,0,0
"102",20110211,1,0,0
"103",20110211,0,1,0
"104",20110212,1,0,0
"105",20110212,1,0,0
"106",20110212,1,0,0
"107",20110212,1,0,0
"108",20110213,1,0,0
"109",20110213,1,0,0
"110",20110213,1,0,0
"111",20110213,0,1,0
"112",20110213,1,0,0
"113",20110214,1,0,0
"114",20110214,1,0,0
"115",20110215,1,0,0
"116",20110216,1,0,0
"117",20110216,1,0,0
"118",20110216,1,0,0
"119",20110217,1,0,0
"120",20110217,1,0,0
"121",20110218,1,0,0
"122",20110218,1,0,0
"123",20110218,1,0,0
"124",20110218,0,1,0
"125",20110218,1,0,0
"126",20110219,0,1,0
"127",20110219,1,0,0
"128",20110219,1,0,0
"129",20110220,0,1,0
"130",20110221,1,0,0
"131",20110221,0,1,0
"132",20110221,1,0,0
"133",20110221,1,0,0
"134",20110221,1,0,0
"135",20110222,1,0,0
"136",20110224,1,0,0
"137",20110224,1,0,0
"138",20110224,1,0,0
"139",20110224,1,0,0
"140",20110225,1,0,0
"141",20110226,1,0,0
"142",20110226,1,0,0
"143",20110227,1,0,0
"144",20110301,1,0,0
"145",20110301,1,0,0
"146",20110301,0,1,0
"147",20110302,0,1,0
"148",20110302,0,1,0
"149",20110302,0,1,0
"150",20110302,1,0,0
"151",20110302,1,0,0
"152",20110303,1,0,0
"153",20110304,1,0,0
"154",20110305,1,0,0
"155",20110305,0,1,0
"156",20110306,1,0,0
"157",20110306,1,0,0
"158",20110306,1,0,0
"159",20110307,0,1,0
"160",20110307,1,0,0
"161",20110307,1,0,0
"162",20110307,1,0,0
"163",20110308,0,1,0
"164",20110308,1,0,0
"165",20110309,0,1,0
"166",20110310,1,0,0
"167",20110310,0,1,0
"168",20110311,1,0,0
"169",20110311,0,1,0
"170",20110312,1,0,0
"171",20110312,0,1,0
"172",20110312,1,0,0
"173",20110313,0,1,0
"174",20110315,1,0,0
"175",20110315,1,0,0
"176",20110316,1,0,0
"177",20110316,1,0,0
"178",20110317,1,0,0
"179",20110317,1,0,0
"180",20110317,0,1,0
"181",20110318,1,0,0
"182",20110319,0,1,0
"183",20110320,1,0,0
"184",20110322,1,0,0
"185",20110322,0,1,0
"186",20110323,0,1,0
"187",20110323,1,0,0
"188",20110325,1,0,0
"189",20110325,1,0,0
"190",20110325,1,0,0
"191",20110325,0,1,0
"192",20110326,1,0,0
"193",20110327,1,0,0
"194",20110327,0,1,0
"195",20110327,0,1,0
"196",20110328,1,0,0
"197",20110330,1,0,0
"198",20110331,1,0,0
"199",20110331,1,0,0
"200",20110331,1,0,0
"201",20110401,1,0,0
"202",20110401,0,1,0
"203",20110401,1,0,0
"204",20110401,1,0,0
"205",20110401,1,0,0
"206",20110402,1,0,0
"207",20110404,1,0,0
"208",20110404,1,0,0
"209",20110404,0,1,0
"210",20110406,1,0,0
"211",20110406,1,0,0
"212",20110407,1,0,0
"213",20110407,1,0,0
"214",20110407,0,1,0
"215",20110408,1,0,0
"216",20110409,1,0,0
"217",20110410,1,0,0
"218",20110410,0,1,0
"219",20110410,1,0,0
"220",20110411,1,0,0
"221",20110411,1,0,0
"222",20110411,1,0,0
"223",20110411,1,0,0
"224",20110411,1,0,0
"225",20110412,0,1,0
"226",20110413,1,0,0
"227",20110413,0,1,0
"228",20110414,1,0,0
"229",20110414,0,1,0
"230",20110415,1,0,0
"231",20110415,1,0,0
"232",20110416,1,0,0
"233",20110417,1,0,0
"234",20110417,0,1,0
"235",20110417,1,0,0
"236",20110417,0,1,0
"237",20110418,1,0,0
"238",20110421,0,1,0
"239",20110422,1,0,0
"240",20110422,0,1,0
"241",20110423,1,0,0
"242",20110424,1,0,0
"243",20110425,1,0,0
"244",20110425,1,0,0
"245",20110426,1,0,0
"246",20110426,1,0,0
"247",20110427,1,0,0
"248",20110427,1,0,0
"249",20110427,1,0,0
"250",20110427,1,0,0
"251",20110427,1,0,0
"252",20110429,0,1,0
"253",20110430,1,0,0
"254",20110501,1,0,0
"255",20110501,0,1,0
"256",20110502,1,0,0
"257",20110502,1,0,0
"258",20110502,1,0,0
"259",20110502,1,0,0
"260",20110503,0,1,0
"261",20110503,1,0,0
"262",20110504,1,0,0
"263",20110507,1,0,0
"264",20110507,1,0,0
"265",20110507,1,0,0
"266",20110508,1,0,0
"267",20110508,0,1,0
"268",20110508,1,0,0
"269",20110509,1,0,0
"270",20110509,1,0,0
"271",20110510,1,0,0
"272",20110511,0,1,0
"273",20110511,0,1,0
"274",20110511,0,1,0
"275",20110511,1,0,0
"276",20110512,0,1,0
"277",20110512,1,0,0
"278",20110513,1,0,0
"279",20110514,1,0,0
"280",20110515,1,0,0
"281",20110515,1,0,0
"282",20110517,1,0,0
"283",20110521,0,1,0
"284",20110521,1,0,0
"285",20110521,1,0,0
"286",20110522,1,0,0
"287",20110522,0,1,0
"288",20110522,0,1,0
"289",20110523,0,1,0
"290",20110523,1,0,0
